1,group2,3,cable reverse lunge,8,goblet squat,8,,
1,group2,3,banded donkey kicks,8,banded lateral walk,7,,
1,group2,3,forward lunge,10,sl bent over row,9,,
1,group2,3,db leg raises,8,oblique crunches,14,,
2,group2,3,clamshells,10,banded squat jumps,12,,
2,group2,2,db curls,10,trx rows,10,,
2,group2,4,deadlift,,,,,
2,group2,4,stair climbs overhead (slam ball),,,,,
3,group2,3,cable single leg deadlift,8,archers,10,cable core twist,10
3,group2,2,glute bridge,8,ball transfer,8,3 level leg,8
3,group2,2,clamshells,10,lateral band walks,7,,
3,group2,3,db skullcrushers,10,db chest press,12,,
4,group2,2,side lunge,12,side plank,9,spleen squishers,10
4,group2,3,back squat,8,sl deadlifdt,9,,
4,group2,3,stepups,12,pushups,10,,
4,group2,2,db upright row,10,db row,12,,
5,group2,3,wall sits w/shoulder press,12,barbell split squat,7,,
5,group2,3,scissor kicks,16,spiderman planks,10,dynamic side planks,8
5,group2,3,rower,90 secs,trx power pulls,14,trx curtsy lunges,10
5,group2,3,kb swings,12,,,,
6,group2,3,renegade rows,10,excalibur,8,,
6,group2,3,bicycle crunch,20,deadbugs,12,glute bridge,10
6,group2,3,swing lunges (w 10lb plate),6,side lunges,12,split squats w/curls,7
6,group2,2,db tricep extensions (overhead),10,incline pushups,10,,
7,group2,3,db sl dl -> upright row,7,parachute jumps,10,,
7,group2,3,push press,12,sl deadlift,8,barbell squat,8
7,group2,3,cable pullover,10,latpulldown,14,wall sits w/bicep curls,20
7,group2,4,battleropes,12 secs,,,,
8,group2,3,stepups,12,one leg bent over row,8,goblet squat,10
8,group2,3,lateral lunge to balance,7,reverse lunge,12,,
8,group2,3,db pullovers,12,swiss ball situp,12,swiss ball 1-arm shoulder press,12
9,group2,3,oblique crunches,16,woodchoppers,9,deadbugs,12
9,group2,3,reverse lunge,12,trx powerpulls,16,,
9,group2,2,push press,12,trx pushups,10,,
9,group2,3,machine ham curl,12,leg extensions,12,,
10,group2,3,archers,8,standing cable row (one arm),9,,
10,group2,3,sl dl to urr,10,ohp,9,,
10,group2,2,russian twist,14,glute bridge,10,spiderman planks,10
10,group2,3,seated row,12,leg press,18,,
